date,channel,sessions,revenue,purchases,engaged_sessions,shipping,tax
2023-06-22,Paid Search,19639,40732.44,333,16804,3227.58,2193.13
2023-06-22,Paid Social,12376,13652.41,88,10381,623,743.08
2023-06-22,Payment Redirects,125,811.33,7,59,63,41.64
2023-06-22,Referral,155,1090.81,6,109,86.78,70.05
2023-06-22,SMS,10048,20974.67,125,5609,1031,1255.13
2023-06-22,Unassigned,561,3250.14,20,6,138.5,211.38
2023-06-23,Affiliates,4203,14862.71,99,2056,827,886.62
2023-06-23,Direct,20941,41447.94,264,16807,2523.78,2079.71
2023-06-23,Display,281,0,0,58,0,0
2023-06-23,Email,18663,36425.82,205,12818,1399.63,2088.04
2023-06-23,Organic Search,5845,9407.4,58,4538,520.84,510.57
2023-06-23,Organic Shopping,76,424.84,4,55,56.02,37.69
2023-06-23,Organic Social,508,1063.7,7,445,74,67.44
2023-06-23,Paid Search,18845,41908.12,322,16180,3024.5,2332.08
2023-06-23,Paid Social,12872,15916.58,93,10180,726.5,921.68
2023-06-23,Paid Video,1,0,0,1,0,0
2023-06-23,Payment Redirects,126,1333.1,8,70,87,79.49
2023-06-23,Referral,119,707.86,2,86,0,51.67
2023-06-23,SMS,10250,18152.1,104,5865,748,1053.68
2023-06-23,Unassigned,563,2386.44,14,29,110,128.84
2023-06-24,Affiliates,3797,14117.09,94,1813,750,832.05
2023-06-24,Direct,20937,41563.8,265,16424,2526.91,1783.87
2023-06-24,Display,231,167.3,1,51,0,0
2023-06-24,Email,14712,34106.17,189,9101,1240.71,2394.11
2023-06-24,Organic Search,6095,9204.81,55,4780,406.46,597.07
2023-06-24,Organic Shopping,52,271.32,2,44,10,6.14
2023-06-24,Organic Social,492,670.86,5,434,30,38.6
2023-06-24,Paid Search,18426,39574.99,288,15886,2434,2057.05
2023-06-24,Paid Social,14045,12358.06,80,10926,567,662.02
2023-06-24,Payment Redirects,147,1229.09,7,81,40,75.08
2023-06-24,Referral,84,81.9,1,62,9.68,0
2023-06-24,SMS,9288,13858.88,86,5200,638,702.3
2023-06-24,Unassigned,646,1544.43,10,50,118.59,79.39
2023-06-25,Affiliates,3779,14713.53,88,1872,774,828.37
2023-06-25,Direct,22791,41385.07,276,17847,2432.39,1896.28
2023-06-25,Display,243,0,0,50,0,0
2023-06-25,Email,13289,31304.32,178,9037,1407.89,1805.23
2023-06-25,Organic Search,6262,8547.91,58,4911,576.29,420.16
2023-06-25,Organic Shopping,47,105.62,1,40,10,6.22
2023-06-25,Organic Social,559,1060.04,7,507,65,55.27
2023-06-25,Paid Search,19767,37449.72,275,17194,2580,2122.47
2023-06-25,Paid Social,16523,14344.36,98,13553,714,846.2
2023-06-25,Payment Redirects,119,1506.8,9,71,99.5,71.46
2023-06-25,Referral,93,307.25,2,57,34.56,25.26
2023-06-25,SMS,10315,20543.68,124,5825,950,1278.38
2023-06-25,Unassigned,526,1099.06,8,25,68.24,142.74
2023-06-26,Affiliates,4093,16059.52,93,1981,873.5,965.23
2023-06-26,Direct,23559,45408.88,292,18497,2729.07,2410.5
2023-06-26,Display,234,0,0,50,0,0
2023-06-26,Email,17405,37048.87,219,11520,1724.74,2063.14
2023-06-26,Organic Search,6696,9725.43,62,5333,704.21,728.86
2023-06-26,Organic Shopping,49,74.11,1,42,10,4.61
2023-06-26,Organic Social,803,510.53,5,705,40,30.71
2023-06-26,Paid Search,20337,42857.22,284,17586,2923.92,2489.38
2023-06-26,Paid Social,14708,11241.57,70,11865,447.5,685.41
2023-06-26,Payment Redirects,124,2709.08,13,70,164,106.16
2023-06-26,Referral,116,488.79,4,73,52.36,86.68
2023-06-26,SMS,9920,20830.78,131,5738,987.5,1202.37
2023-06-26,Unassigned,619,2373.06,15,27,102.5,143.66
2023-06-27,Affiliates,4193,19672.31,104,2329,798,1046.62
2023-06-27,Direct,23158,59395.07,360,18455,3528.3,2522.11
2023-06-27,Display,300,0,0,62,0,0
2023-06-27,Email,20215,56581.43,307,14044,1747.59,3331.53
2023-06-27,Organic Search,6772,13463.09,83,5365,852.78,720.92
2023-06-27,Organic Shopping,38,0,0,34,0,0
2023-06-27,Organic Social,687,1721.45,9,607,65.5,52.75
2023-06-27,Paid Search,20097,52555.84,361,17205,3686.5,2926.73
2023-06-27,Paid Social,13444,18978.9,112,11070,808,1036.88
2023-06-27,Payment Redirects,187,2885.53,17,128,160.5,212.37
2023-06-27,Referral,144,687.07,4,88,48.85,23.61
2023-06-27,SMS,17655,42306.68,242,10823,1755,2502.16
2023-06-27,Unassigned,615,5514.55,26,24,303.19,240.45
2023-06-28,Affiliates,4373,20662.11,117,2450,1169.5,1028.6
2023-06-28,Direct,25324,52703.73,337,20343,3275.81,1989.76
2023-06-28,Display,221,0,0,33,0,0
2023-06-28,Email,19499,47122.19,257,13554,1761.26,3099.28
2023-06-28,Organic Search,6535,10536.94,64,5152,745.23,522.24
2023-06-28,Organic Shopping,55,180.29,1,53,0,0
2023-06-28,Organic Social,747,871.45,8,675,60,57.99
2023-06-28,Paid Search,18313,61954.76,394,15889,3968.74,3674.08
2023-06-28,Paid Social,15144,17606.27,116,12440,832,997.27
2023-06-28,Payment Redirects,163,2423.02,14,88,108.5,166.56
2023-06-28,Referral,135,951.14,4,104,63.24,199.25
2023-06-28,SMS,13717,30615.99,177,8288,1216,1775.17
2023-06-28,Unassigned,677,4619.32,25,4,180.5,225.39
2023-06-29,Affiliates,4787,21053.06,112,2602,1035,1284.02
2023-06-29,Direct,25255,63119.01,403,19895,3739.39,2560.44
2023-06-29,Display,369,0,0,46,0,0
2023-06-29,Email,20937,51037.99,294,14739,1841.29,2953.79
2023-06-29,Organic Search,6075,15186.4,81,4903,928.99,1135.77
2023-06-29,Organic Shopping,45,83.44,1,43,10,5.46
2023-06-29,Organic Social,862,1551.17,8,770,20,98.96
2023-06-29,Paid Search,19735,49064.7,363,17275,3698.5,2680.32
2023-06-29,Paid Social,21991,26723.35,185,19067,1506.5,1556.15
2023-06-29,Payment Redirects,168,1183.9,8,88,85,79.92
2023-06-29,Referral,115,355.83,3,73,28.92,11.94
2023-06-29,SMS,13590,32768.17,188,8017,1357,1914.04
2023-06-29,Unassigned,587,1744.58,12,2,117.74,105.31
2023-06-30,Affiliates,4784,24278.72,133,2571,971.5,1439.89
2023-06-30,Direct,22860,62639.43,409,18217,3843.9,2892.04
2023-06-30,Display,467,0,0,40,0,0
2023-06-30,Email,20698,45874.69,260,14451,1764.02,2741.32
2023-06-30,Organic Search,6115,12904.17,83,4857,896.61,1012.7
2023-06-30,Organic Shopping,44,0,0,42,0,0
2023-06-30,Organic Social,1056,1529.36,12,944,116.5,84.6
2023-06-30,Paid Search,20231,56081.32,414,17609,4015.74,3198.84
2023-06-30,Paid Social,23960,28038.77,181,20391,1454,1567.77
2023-06-30,Payment Redirects,175,1372.26,8,87,84,49.61
2023-06-30,Referral,115,677.19,3,78,41.48,132.78
2023-06-30,SMS,12164,32284.09,195,7043,1450.5,1966.4
2023-06-30,Unassigned,688,4629.33,25,12,212,254.52
2023-07-01,Affiliates,4286,17791.43,113,2383,785.5,958.1
2023-07-01,Direct,22756,59706.63,369,17709,2793.67,2423.89
2023-07-01,Display,353,0,0,45,0,0
2023-07-01,Email,20918,53498.39,288,14425,1904.06,3306.53
2023-07-01,Organic Search,6408,16421.23,97,5022,860.91,897.73
2023-07-01,Organic Shopping,59,153.4,1,54,10,0
2023-07-01,Organic Social,1185,2062.53,11,1064,83.7,167
2023-07-01,Paid Search,21641,53427.72,387,18944,3168.37,2884.57
2023-07-01,Paid Social,23567,31849.07,202,21144,1495.36,1704.19
2023-07-01,Payment Redirects,166,1358.71,9,81,50,65.67
2023-07-01,Referral,107,748.44,2,77,28.8,12.54
2023-07-01,SMS,13563,34662.62,202,8016,1191.5,2073.14
2023-07-01,Unassigned,599,4885.13,20,3,214.5,220.58
2023-07-02,Affiliates,4379,18800.97,102,2526,588.5,992.71
2023-07-02,Direct,25350,60984.44,394,19436,2979.97,2571.03
2023-07-02,Display,145,0,0,25,0,0
2023-07-02,Email,21718,57173.84,322,14781,1684.85,3355.13
2023-07-02,Organic Search,6721,18401.32,96,5448,673.33,1428.07
2023-07-02,Organic Shopping,51,0,0,48,0,0
2023-07-02,Organic Social,1131,2223.34,14,1026,80,120.16
2023-07-02,Organic Video,1,0,0,1,0,0
2023-07-02,Paid Search,21898,59514.78,418,19046,3481,3391.47
2023-07-02,Paid Social,18413,22814.6,154,16533,1010,1299.69
2023-07-02,Paid Video,1,0,0,0,0,0
2023-07-02,Payment Redirects,168,1495.17,8,100,54,98.61
2023-07-02,Referral,107,394.53,2,74,41.8,28.68
2023-07-02,SMS,14262,38181.23,206,8310,1211.5,2309.38
2023-07-02,Unassigned,624,2634.72,15,5,80,99.45
2023-07-03,Affiliates,4631,21459.23,110,2640,800.5,1129.36
2023-07-03,Direct,25532,64695.21,415,20354,3173.59,2339.46
2023-07-03,Display,180,0,0,9,0,0
2023-07-03,Email,21129,52644.26,297,14583,1713.31,3152.57
2023-07-03,Organic Search,6529,15093.27,84,5174,690.43,1004.13
2023-07-03,Organic Shopping,56,33.4,1,52,10,0
2023-07-03,Organic Social,1143,1516.75,9,1038,50,72.92
2023-07-03,Organic Video,1,0,0,1,0,0
2023-07-03,Paid Search,20968,57008.46,380,18284,3181.36,3223.33
2023-07-03,Paid Social,10965,16016.62,106,9514,666.5,874.21
2023-07-03,Payment Redirects,157,1015.02,6,81,52.5,77.6
2023-07-03,Referral,148,1699.46,4,110,48.07,451.82
2023-07-03,SMS,12096,30288.35,171,6800,996,1858.55
2023-07-03,Unassigned,601,4528.2,26,2,166.36,281.18
2023-07-04,Affiliates,4278,26464.93,148,2364,895.86,1577.09
2023-07-04,Direct,25536,88786.3,507,20318,3500.07,3949.08
2023-07-04,Display,153,0,0,15,0,0
2023-07-04,Email,19278,73195.33,386,13412,2027.82,3894.15
2023-07-04,Organic Search,6067,22874.75,109,4898,650.29,1278.51
2023-07-04,Organic Shopping,53,114.53,2,51,20,5.85
2023-07-04,Organic Social,878,2214.38,11,781,53,132.98
2023-07-04,Organic Video,4,0,0,2,0,0
2023-07-04,Paid Search,20505,71678.37,467,18129,3600.5,4094.51
2023-07-04,Paid Social,11713,15768.21,105,10338,720.5,869.19
2023-07-04,Payment Redirects,159,1929.43,11,94,53,122.25
2023-07-04,Referral,137,247.31,2,92,33.09,0
2023-07-04,SMS,13444,43617.47,235,7875,1111,2427.22
2023-07-04,Unassigned,660,5939.06,33,11,260.5,301.26
2023-07-05,Affiliates,4155,18564.54,108,2332,756.5,1011.6
2023-07-05,Direct,26189,56863.96,378,19981,2964.39,2430.27
2023-07-05,Display,153,0,0,16,0,0
2023-07-05,Email,19567,55973.36,325,13310,1877.53,3165.98
2023-07-05,Organic Search,6646,17532.02,103,5432,955.82,1069.42
2023-07-05,Organic Shopping,119,205.46,3,83,30,12.17
2023-07-05,Organic Social,766,665.84,6,697,53,46.49
2023-07-05,Organic Video,1,0,0,0,0,0
2023-07-05,Paid Search,19636,57110.78,397,16988,3312,3258.31
2023-07-05,Paid Social,12468,17003.28,105,10919,776.5,1047.45
2023-07-05,Payment Redirects,185,1394.29,10,116,75.5,72.91
2023-07-05,Referral,122,677.82,5,91,52.5,1.43
2023-07-05,SMS,12832,32660.61,178,7180,952.5,2084.42
2023-07-05,Unassigned,629,5271.58,32,11,164,314.23
2023-07-06,Affiliates,4743,11989.81,79,2669,602.5,692.16
2023-07-06,Direct,25205,36153.11,275,20133,2564.49,1845.09
2023-07-06,Display,89,0,0,11,0,0
2023-07-06,Email,19182,28807.37,177,13102,1290.34,1878.95
2023-07-06,Organic Search,6282,10194.09,62,4993,566.39,519.74
2023-07-06,Organic Shopping,90,0,0,62,0,0
2023-07-06,Organic Social,792,1547.91,10,700,104,49.71
2023-07-06,Paid Search,19382,42318.98,317,16730,2955.36,2406.37
2023-07-06,Paid Social,13487,9629.54,74,11953,582,528.66
2023-07-06,Paid Video,2,0,0,1,0,0
2023-07-06,Payment Redirects,143,1150.72,8,79,64,84.89
2023-07-06,Referral,114,352.32,2,66,15.08,29.84
2023-07-06,SMS,11885,15019.13,104,6691,819.5,808.99
2023-07-06,Unassigned,599,4052.42,17,0,118,179.4
2023-07-07,Affiliates,5029,13780.48,90,2805,726.5,805.69
2023-07-07,Direct,22392,39819.75,289,17864,2785.96,1672
2023-07-07,Display,90,0,0,13,0,0
2023-07-07,Email,14237,25176.71,162,9489,1103.37,1495.91
2023-07-07,Organic Search,5714,7746.55,54,4443,504.48,680.05
2023-07-07,Organic Shopping,36,239.65,2,34,10,3.68
2023-07-07,Organic Social,774,1322.32,8,693,50,85.45
2023-07-07,Organic Video,1,0,0,1,0,0
2023-07-07,Paid Search,19399,39733.51,321,17067,2804.74,2293.63
2023-07-07,Paid Social,13423,13540.72,91,11965,707.5,781.63
2023-07-07,Payment Redirects,135,716.23,5,82,40,37.49
2023-07-07,Referral,106,378.47,3,74,49.88,62.34
2023-07-07,SMS,9320,17254.46,104,4975,670,1029.97
2023-07-07,Unassigned,542,1832.28,13,0,95.5,100.74
2023-07-08,Affiliates,4842,12255.23,79,2476,559,666.65
2023-07-08,Direct,23570,36074.54,248,18616,2116.21,1826.32
2023-07-08,Display,84,0,0,11,0,0
2023-07-08,Email,13712,29438.71,154,9154,1187.82,1816.93
2023-07-08,Organic Search,5937,10385.02,59,4698,541.7,683.93
2023-07-08,Organic Shopping,74,253.54,3,72,30,15.76
2023-07-08,Organic Social,733,1568.59,9,647,75,101.43
2023-07-08,Paid Search,20267,39419.47,326,17718,2858.5,2322.52
2023-07-08,Paid Social,16818,14215.26,111,13605,874,779.37
2023-07-08,Payment Redirects,108,709.28,6,59,72.5,46.51
2023-07-08,Referral,81,139.51,2,57,29.94,5.38
2023-07-08,SMS,9982,13964.16,99,5992,789.5,800.64
2023-07-08,Unassigned,543,1631.2,14,22,110,69.46
2023-07-09,Affiliates,4397,13280.58,89,2516,765.21,802.83
2023-07-09,Direct,24412,37111.21,274,19472,2459.35,1943.47
2023-07-09,Display,75,0,0,8,0,0
2023-07-09,Email,14052,25152.39,156,9704,1113.58,1494.28
2023-07-09,Organic Search,6575,8825.67,51,5278,464.91,453.73
2023-07-09,Organic Shopping,65,0,0,63,0,0
2023-07-09,Organic Social,977,1212.86,9,890,72.5,66.94
2023-07-09,Organic Video,1,0,0,1,0,0
2023-07-09,Paid Search,22157,42346.71,323,19330,2835.86,2437.48
2023-07-09,Paid Social,18557,14193.7,100,14540,780,777.27
2023-07-09,Paid Video,1,0,0,0,0,0
2023-07-09,Payment Redirects,100,629.1,3,46,20,46.82
2023-07-09,Referral,116,775.68,2,78,36.71,0
2023-07-09,SMS,10891,22281.37,139,6358,991,1332.66
2023-07-09,Unassigned,586,2632.2,15,25,86,128.04
2023-07-10,Affiliates,4824,10041.09,66,2592,522,568.41
2023-07-10,Direct,24580,41107.6,283,19438,2663.17,2035.84
2023-07-10,Display,45,0,0,15,0,0
2023-07-10,Email,15692,22290.14,131,10934,947.84,1239.13
2023-07-10,Organic Search,6467,10964.76,68,5165,635.95,745.99
2023-07-10,Organic Shopping,43,0,0,40,0,0
2023-07-10,Organic Social,1032,431.13,4,895,40,28.77
2023-07-10,Paid Search,20309,37567.8,287,17732,2653.5,2085.98
2023-07-10,Paid Social,17214,11848.59,88,14400,758,735.4
2023-07-10,Payment Redirects,118,2154.81,11,76,52.5,127.2
2023-07-10,Referral,100,1490.63,5,66,56.75,265.03
2023-07-10,SMS,12649,18550.56,107,7143,791,1127.01
2023-07-10,Unassigned,595,2506.23,12,30,120.5,158.67
2023-07-11,Affiliates,4694,19997.59,115,2723,902.5,1098.57
2023-07-11,Direct,26316,55214.46,386,20775,3287.01,2158.55
2023-07-11,Display,58,0,0,9,0,0
2023-07-11,Email,18323,48006.3,290,12890,1822.16,2977.75
2023-07-11,Organic Search,6574,11895.58,78,5269,669.31,580.75
2023-07-11,Organic Shopping,87,300.27,2,86,13,6.35
2023-07-11,Organic Social,1032,1921.54,13,877,106,113.65
2023-07-11,Organic Video,4,0,0,3,0,0
2023-07-11,Paid Search,20022,51586.18,352,17565,3001.5,3000.98
2023-07-11,Paid Social,14347,13555.94,91,12076,584,801.04
2023-07-11,Paid Video,1,0,0,1,0,0
2023-07-11,Payment Redirects,165,1307.99,6,84,10,70.3
2023-07-11,Referral,133,1262.98,7,88,109.96,123.05
2023-07-11,SMS,17611,42601.11,290,10964,2007.5,2724.69
2023-07-11,Unassigned,583,2544,16,14,171.5,132.35
2023-07-12,Affiliates,4766,26219.23,163,2865,1090,1544.96
2023-07-12,Direct,26164,64065.36,503,21055,4148.05,2575.33
2023-07-12,Display,57,0,0,9,0,0
2023-07-12,Email,17858,75887.3,494,12656,3533.76,4315.21
2023-07-12,Organic Search,6566,11434.34,87,5156,666.86,618.97
2023-07-12,Organic Shopping,39,58.49,1,37,10,3.49
2023-07-12,Organic Social,863,2909.54,16,746,82.5,134.92
2023-07-12,Organic Video,2,0,0,2,0,0
2023-07-12,Paid Search,20530,55043.13,418,17773,3766.5,3253.7
2023-07-12,Paid Social,13877,13775.78,93,11762,763.5,784.91
2023-07-12,Paid Video,2,0,0,2,0,0
2023-07-12,Payment Redirects,164,1747.69,14,84,150,82.47
2023-07-12,Referral,149,1930.41,10,107,86.39,232.28
2023-07-12,SMS,15639,64012.14,418,9381,2574.5,3776.82
2023-07-12,Unassigned,644,3400.19,24,18,193.5,162.1
2023-07-13,Affiliates,5418,35881.29,227,3248,1469.5,2021.57
2023-07-13,Direct,28772,81786.23,572,23362,4648.57,3457.51
2023-07-13,Display,109,0,0,10,0,0
2023-07-13,Email,19576,65346.61,414,14217,2515,3860.96
2023-07-13,Organic Search,6578,17846.72,127,5240,948.62,950.6
2023-07-13,Organic Shopping,148,29.22,1,96,10,2.23
2023-07-13,Organic Social,1020,2673.08,16,904,90,151.64
2023-07-13,Organic Video,1,0,0,1,0,0
2023-07-13,Paid Search,22508,69633.2,546,19910,4593.5,3987.76
2023-07-13,Paid Social,21682,26397.91,195,18534,1506,1591.76
2023-07-13,Paid Video,3,0,0,2,0,0
2023-07-13,Payment Redirects,169,1082.5,5,92,54,70.98
2023-07-13,Referral,135,460.44,3,87,25.08,48.5
2023-07-13,SMS,16146,62149.93,421,10888,2794.5,3683.48
2023-07-13,Unassigned,712,5267.6,30,23,235.24,369.86
2023-07-14,Affiliates,5736,28415.12,182,3354,1311,1732.03
2023-07-14,Direct,28049,75721.35,582,22806,4915.58,3257.98
2023-07-14,Display,62,0,0,9,0,0
2023-07-14,Email,18624,69562.01,423,13208,2624.1,3852.85
2023-07-14,Organic Search,6604,15121.43,109,5224,854.21,814
2023-07-14,Organic Shopping,247,75.22,1,150,10,5.25
2023-07-14,Organic Social,1096,2456.48,16,977,143,146.74
2023-07-14,Organic Video,3,0,0,0,0,0
2023-07-14,Paid Search,23265,67743.88,523,20324,4340.5,3997.31
2023-07-14,Paid Social,20646,24425.68,183,17534,1408,1384.94
2023-07-14,Paid Video,3,0,0,2,0,0
2023-07-14,Payment Redirects,162,1297.75,11,88,80,85.41
2023-07-14,Referral,128,138.19,2,87,10,9.77
2023-07-14,SMS,15482,55318.26,372,9931,2534,3276.03
2023-07-14,Unassigned,764,6413.44,34,25,146,311.11
2023-07-15,Affiliates,5388,24091.11,149,3112,1076,1475.19
2023-07-15,Direct,27844,69307.9,496,22723,4035.49,2521.51
2023-07-15,Display,73,0,0,21,0,0
2023-07-15,Email,17651,63388.33,389,12806,2354.42,3769.59
2023-07-15,Organic Search,6504,16339.15,111,5205,830.92,1011.91
2023-07-15,Organic Shopping,61,0,0,61,0,0
2023-07-15,Organic Social,1365,2237.99,16,1217,122.5,115.25
2023-07-15,Organic Video,4,0,0,2,0,0
2023-07-15,Paid Other,1,0,0,1,0,0
2023-07-15,Paid Search,23568,63979.46,495,20859,4469.86,3838.65
2023-07-15,Paid Social,22522,29395.09,209,19680,1501.5,1740.29
2023-07-15,Payment Redirects,190,2532.41,15,95,131.5,166.1
2023-07-15,Referral,116,610.85,5,72,60.13,97.43
2023-07-15,SMS,16198,40008.37,277,9270,1826.5,2541.15
2023-07-15,Unassigned,770,4509.24,30,19,180,279.47
2023-07-16,Affiliates,5208,30037.91,196,3193,1469.5,1698.66
2023-07-16,Direct,30638,80883.29,575,24557,4665.69,3339.39
2023-07-16,Display,67,0,0,13,0,0
2023-07-16,Email,19342,63811.07,400,13422,2759.28,4089.3
2023-07-16,Organic Search,7082,17866.7,117,5717,1114.76,1211.15
2023-07-16,Organic Shopping,55,124.05,3,54,30,7.07
2023-07-16,Organic Social,1218,3147.04,22,1086,142.5,171.43
2023-07-16,Organic Video,1,0,0,1,0,0
2023-07-16,Paid Search,27386,64583.98,533,24172,4640.5,3668.94
2023-07-16,Paid Social,24183,27600.52,211,20959,1678.5,1744.17
2023-07-16,Payment Redirects,167,1410.79,8,87,98,76.75
2023-07-16,Referral,127,280.44,3,83,32.95,10.51
2023-07-16,SMS,17569,56081.34,342,10958,2023,3499.01
2023-07-16,Unassigned,673,7037.98,36,16,211.5,404.47
2023-07-17,Affiliates,5422,22943.64,154,3283,1142,1431.94
2023-07-17,Direct,29635,68065.41,490,24132,4227.01,2910.19
2023-07-17,Display,44,0,0,7,0,0
2023-07-17,Email,20731,57794.01,362,14264,2433.23,3701.5
2023-07-17,Organic Search,7445,13357.56,96,6042,930.16,941.26
2023-07-17,Organic Shopping,53,28.82,1,49,10,1.83
2023-07-17,Organic Social,1149,2969.03,15,1030,70,171.67
2023-07-17,Organic Video,1,0,0,1,0,0
2023-07-17,Paid Search,23255,54155.77,441,20251,3906.43,2988.15
2023-07-17,Paid Social,22816,23186.82,159,19530,1052,1478.44
2023-07-17,Payment Redirects,170,3151.09,18,88,73,210.58
2023-07-17,Referral,127,387.99,1,79,21.78,127.99
2023-07-17,SMS,15078,40297.98,266,9017,1747,2450.13
2023-07-17,Unassigned,782,2650.19,20,16,165,113.58
2023-07-18,Affiliates,4936,28028.02,174,3004,1211.87,1592.97
2023-07-18,Direct,29913,64778.35,491,24194,4543.87,2479.15
2023-07-18,Display,50,0,0,13,0,0
2023-07-18,Email,19712,57017.48,334,13642,2028.32,3345.11
2023-07-18,Organic Search,7095,16675.11,111,5639,962.34,1078.5
2023-07-18,Organic Shopping,40,0,0,40,0,0
2023-07-18,Organic Social,1609,1904.81,13,1504,60,86.86
2023-07-18,Organic Video,2,0,0,1,0,0
2023-07-18,Paid Search,23307,56427.03,441,20178,4105,3239.24
2023-07-18,Paid Social,19944,21204.32,159,17650,1134,1231.87
2023-07-18,Payment Redirects,166,1927.48,11,96,86.5,113.6
2023-07-18,Referral,139,399.13,2,87,41.39,89.8
2023-07-18,SMS,13634,37149.84,247,7805,1615,2222
2023-07-18,Unassigned,682,4760.02,27,19,155,288.92
2023-07-19,Affiliates,5118,24389.45,164,3019,1250.5,1349.92
2023-07-19,Direct,31274,67162.11,491,24965,4229.71,2700.45
2023-07-19,Display,91,0,0,15,0,0
2023-07-19,Email,19745,45615.73,302,13260,2152.52,2661.91
2023-07-19,Organic Search,7202,11435.65,78,5722,623.15,682.18
2023-07-19,Organic Shopping,36,294.73,2,35,10,22.75
2023-07-19,Organic Social,1287,1240.39,10,1132,60,54.46
2023-07-19,Organic Video,3,0,0,2,0,0
2023-07-19,Paid Search,25913,62582.97,494,22769,4790,3368.48
2023-07-19,Paid Social,19035,17741.46,144,16288,1153,1030.41
2023-07-19,Payment Redirects,147,977.6,8,79,86.5,32.43
2023-07-19,Referral,115,913.2,3,79,30.11,221.45
2023-07-19,SMS,12887,30415.63,194,7745,1316.5,1896.75
2023-07-19,Unassigned,741,5633.12,35,22,293,284.6
2023-07-20,Affiliates,5480,26873.03,169,3166,1199.5,1630.27
2023-07-20,Direct,29439,71610.63,546,23961,4800.04,2907.9
2023-07-20,Display,74,0,0,19,0,0
2023-07-20,Email,21386,56451.1,359,14755,2258.01,3274.82
2023-07-20,Organic Search,6695,14138.18,95,5298,803.03,1123.56
2023-07-20,Organic Shopping,45,460.62,3,45,20,36.41
2023-07-20,Organic Social,1329,2514.66,10,1204,32.5,138.78
2023-07-20,Organic Video,3,0,0,1,0,0
2023-07-20,Paid Search,25607,70577.81,542,22357,4658.36,4361.25
2023-07-20,Paid Social,16796,18506.55,127,14385,792,1125.19
2023-07-20,Payment Redirects,223,2418.04,18,121,160,151.36
2023-07-20,Referral,121,561.99,2,75,10,45.95
2023-07-20,SMS,13140,34946.21,241,7895,1744,2004.55
2023-07-20,Unassigned,753,4234.14,26,15,188.5,293.72
2023-07-21,Affiliates,5534,26428.31,170,3216,1089,1516.56
2023-07-21,Direct,27923,71713.63,537,22662,4670.67,2994.96
2023-07-21,Display,78,0,0,21,0,0
2023-07-21,Email,17240,51644.15,340,12170,2356.62,3257.68
2023-07-21,Organic Search,6923,13486.84,98,5456,878.15,1243.3
2023-07-21,Organic Shopping,44,576.12,5,44,43,41.8
2023-07-21,Organic Social,1063,1948.6,13,976,102.5,95.25
2023-07-21,Organic Video,5,0,0,0,0,0
2023-07-21,Paid Search,21664,67058.68,523,18722,4652.5,3809.52
2023-07-21,Paid Social,14606,22258.66,155,12499,1084.5,1265.99
2023-07-21,Payment Redirects,191,3098.63,19,126,205,191.28
2023-07-21,Referral,112,667.56,4,78,36.72,88.75
2023-07-21,SMS,13382,33396,223,8008,1585.5,2038.73
2023-07-21,Unassigned,652,4320.39,35,11,271,218.55
2023-07-22,Affiliates,5044,26015.99,166,2955,1119.5,1553.04
2023-07-22,Direct,27948,67643.11,484,22208,4049.48,2734.01
2023-07-22,Display,84,0,0,21,0,0
2023-07-22,Email,16202,44637.1,289,11175,2014.41,3007.26
2023-07-22,Organic Search,6757,12052.26,94,5332,759.86,771.52
2023-07-22,Organic Shopping,43,0,0,43,0,0
2023-07-22,Organic Social,975,76.29,1,877,10,6.3
2023-07-22,Organic Video,1,0,0,0,0,0
2023-07-22,Paid Search,20084,52801.01,403,17111,3359,2989.68
2023-07-22,Paid Social,15029,13908.73,113,12955,922,802.11
2023-07-22,Paid Video,1,0,0,1,0,0
2023-07-22,Payment Redirects,152,2671.28,10,84,75,214.37
2023-07-22,Referral,83,73.22,1,55,9.6,0
2023-07-22,SMS,11192,33361.77,197,6852,1189,1971.29
2023-07-22,Unassigned,593,2118.18,13,14,82.51,98.7
2023-07-23,Affiliates,4824,19496.38,137,2955,1159,1060.82
2023-07-23,Direct,29281,66240.8,485,23611,3947,2495.72
2023-07-23,Display,66,0,0,18,0,0
2023-07-23,Email,16807,41430.84,260,11241,1810.83,2642.86
2023-07-23,Organic Search,7316,14413.97,104,5801,831.29,957.78
2023-07-23,Organic Shopping,59,119.98,1,58,10,0
2023-07-23,Organic Social,833,2506.48,12,750,62.5,130.76
2023-07-23,Organic Video,1,0,0,0,0,0
2023-07-23,Paid Search,21510,64136.67,478,18219,3903.98,3853.16
2023-07-23,Paid Social,16384,17142.09,132,14311,994.5,946.86
2023-07-23,Payment Redirects,150,1112.22,7,78,40,59.6
2023-07-23,Referral,108,37.71,1,60,10,2.22
2023-07-23,SMS,14059,33221.68,210,8474,1326.5,2127.05
2023-07-23,Unassigned,648,2997.06,24,10,230.5,163.24
2023-07-24,Affiliates,5367,22606.65,156,3254,1081.5,1211.46
2023-07-24,Direct,30156,65448.39,502,24334,4281.96,2645.63
2023-07-24,Display,88,0,0,12,0,0
2023-07-24,Email,24647,62391.22,385,16965,2506.86,3511.05
2023-07-24,Organic Search,7262,14910.47,97,5781,717.99,823.28
2023-07-24,Organic Shopping,62,0,0,61,0,0
2023-07-24,Organic Social,909,1793.93,13,815,127,108.39
2023-07-24,Paid Search,24642,57154.52,451,21372,4156.5,3151.48
