date,channel,quantity
2023-08-19,Email,569
2023-08-19,Organic Search,195
2023-08-19,Organic Shopping,63
2023-08-19,Organic Social,19
2023-08-19,Paid Search,559
2023-08-19,Paid Social,375
2023-08-19,Payment Redirects,20
2023-08-19,Referral,9
2023-08-19,SMS,254
2023-08-19,Unassigned,64
2023-08-20,Affiliates,256
2023-08-20,Cross-network,282
2023-08-20,Direct,816
2023-08-20,Email,554
2023-08-20,Organic Search,215
2023-08-20,Organic Shopping,40
2023-08-20,Organic Social,24
2023-08-20,Paid Search,508
2023-08-20,Paid Social,342
2023-08-20,Payment Redirects,42
2023-08-20,Referral,14
2023-08-20,SMS,354
2023-08-20,Unassigned,40
2023-08-21,Affiliates,291
2023-08-21,Cross-network,255
2023-08-21,Direct,725
2023-08-21,Email,518
2023-08-21,Organic Search,173
2023-08-21,Organic Shopping,29
2023-08-21,Organic Social,4
2023-08-21,Paid Search,440
2023-08-21,Paid Social,267
2023-08-21,Payment Redirects,33
2023-08-21,Referral,9
2023-08-21,SMS,322
2023-08-21,Unassigned,51
2023-08-22,Affiliates,297
2023-08-22,Cross-network,331
2023-08-22,Direct,752
2023-08-22,Email,502
2023-08-22,Organic Search,168
2023-08-22,Organic Shopping,30
2023-08-22,Organic Social,1
2023-08-22,Paid Search,505
2023-08-22,Paid Social,239
2023-08-22,Payment Redirects,65
2023-08-22,Referral,10
2023-08-22,SMS,340
2023-08-22,Unassigned,58
2023-08-23,Affiliates,318
2023-08-23,Cross-network,298
2023-08-23,Direct,750
2023-08-23,Email,633
2023-08-23,Organic Search,220
2023-08-23,Organic Shopping,19
2023-08-23,Organic Social,7
2023-08-23,Paid Search,530
2023-08-23,Paid Social,237
2023-08-23,Payment Redirects,13
2023-08-23,Referral,6
2023-08-23,SMS,354
2023-08-23,Unassigned,55
2023-08-24,Affiliates,445
2023-08-24,Cross-network,432
2023-08-24,Direct,1131
2023-08-24,Email,1133
2023-08-24,Organic Search,250
2023-08-24,Organic Shopping,23
2023-08-24,Organic Social,11
2023-08-24,Paid Search,581
2023-08-24,Paid Social,387
2023-08-24,Payment Redirects,54
2023-08-24,Referral,18
2023-08-24,SMS,807
2023-08-24,Unassigned,42
2023-08-25,Affiliates,513
2023-08-25,Cross-network,445
2023-08-25,Direct,1197
2023-08-25,Email,1143
2023-08-25,Organic Search,230
2023-08-25,Organic Shopping,36
2023-08-25,Organic Social,14
2023-08-25,Paid Search,582
2023-08-25,Paid Social,422
2023-08-25,Payment Redirects,63
2023-08-25,Referral,28
2023-08-25,SMS,995
2023-08-25,Unassigned,55
2023-08-26,Affiliates,501
2023-08-26,Cross-network,458
2023-08-26,Direct,955
2023-08-26,Email,1076
2023-08-26,Organic Search,177
2023-08-26,Organic Shopping,52
2023-08-26,Organic Social,6
2023-08-26,Paid Search,611
2023-08-26,Paid Social,475
2023-08-26,Payment Redirects,41
2023-08-26,Referral,24
2023-08-26,SMS,676
2023-08-26,Unassigned,59
2023-08-27,Affiliates,261
2023-08-27,Cross-network,261
2023-08-27,Direct,835
2023-08-27,Display,1
2023-08-27,Email,554
2023-08-27,Organic Search,160
2023-08-27,Organic Shopping,52
2023-08-27,Organic Social,2
2023-08-27,Paid Search,541
2023-08-27,Paid Social,308
2023-08-27,Payment Redirects,23
2023-08-27,Referral,14
2023-08-27,SMS,235
2023-08-27,Unassigned,23
2023-08-28,Affiliates,184
2023-08-28,Cross-network,240
2023-08-28,Direct,708
2023-08-28,Email,532
2023-08-28,Organic Search,144
2023-08-28,Organic Shopping,29
2023-08-28,Organic Social,4
2023-08-28,Paid Search,399
2023-08-28,Paid Social,268
2023-08-28,Payment Redirects,26
2023-08-28,Referral,15
2023-08-28,SMS,316
2023-08-28,Unassigned,25
2023-08-29,Affiliates,463
2023-08-29,Cross-network,427
2023-08-29,Direct,1109
2023-08-29,Email,895
2023-08-29,Organic Search,207
2023-08-29,Organic Shopping,88
2023-08-29,Organic Social,14
2023-08-29,Paid Search,694
2023-08-29,Paid Social,399
2023-08-29,Payment Redirects,45
2023-08-29,Referral,24
2023-08-29,SMS,684
2023-08-29,Unassigned,68
2023-08-30,Affiliates,445
2023-08-30,Cross-network,446
2023-08-30,Direct,1179
2023-08-30,Email,822
2023-08-30,Organic Search,267
2023-08-30,Organic Shopping,82
2023-08-30,Organic Social,23
2023-08-30,Paid Search,747
2023-08-30,Paid Social,498
2023-08-30,Payment Redirects,22
2023-08-30,Referral,13
2023-08-30,SMS,523
2023-08-30,Unassigned,75
2023-08-31,Affiliates,524
2023-08-31,Cross-network,407
2023-08-31,Direct,1103
2023-08-31,Display,3
2023-08-31,Email,920
2023-08-31,Organic Search,269
2023-08-31,Organic Shopping,76
2023-08-31,Organic Social,39
2023-08-31,Paid Search,792
2023-08-31,Paid Social,547
2023-08-31,Payment Redirects,83
2023-08-31,Referral,19
2023-08-31,SMS,576
2023-08-31,Unassigned,45
2023-09-01,Affiliates,543
2023-09-01,Cross-network,421
2023-09-01,Direct,1659
2023-09-01,Email,1109
2023-09-01,Organic Search,314
2023-09-01,Organic Shopping,80
2023-09-01,Organic Social,7
2023-09-01,Paid Search,734
2023-09-01,Paid Social,487
2023-09-01,Payment Redirects,42
2023-09-01,Referral,36
2023-09-01,SMS,407
2023-09-01,Unassigned,108
2023-09-02,Affiliates,451
2023-09-02,Cross-network,530
2023-09-02,Direct,1288
2023-09-02,Email,764
2023-09-02,Organic Search,269
2023-09-02,Organic Shopping,63
2023-09-02,Organic Social,7
2023-09-02,Paid Search,775
2023-09-02,Paid Social,462
2023-09-02,Payment Redirects,34
2023-09-02,Referral,33
2023-09-02,SMS,452
2023-09-02,Unassigned,109
2023-09-03,Affiliates,535
2023-09-03,Cross-network,514
2023-09-03,Direct,1526
2023-09-03,Display,1
2023-09-03,Email,1023
2023-09-03,Organic Search,354
2023-09-03,Organic Shopping,56
2023-09-03,Organic Social,25
2023-09-03,Paid Search,891
2023-09-03,Paid Social,512
2023-09-03,Payment Redirects,39
2023-09-03,Referral,17
2023-09-03,SMS,774
2023-09-03,Unassigned,72
2023-09-04,Affiliates,680
2023-09-04,Cross-network,611
2023-09-04,Direct,2535
2023-09-04,Email,1500
2023-09-04,Organic Search,543
2023-09-04,Organic Shopping,85
2023-09-04,Organic Social,44
2023-09-04,Paid Search,1190
2023-09-04,Paid Social,496
2023-09-04,Payment Redirects,64
2023-09-04,Referral,12
2023-09-04,SMS,1175
2023-09-04,Unassigned,119
2023-09-05,Affiliates,345
2023-09-05,Cross-network,386
2023-09-05,Direct,1004
2023-09-05,Email,986
2023-09-05,Organic Search,265
2023-09-05,Organic Shopping,75
2023-09-05,Organic Social,25
2023-09-05,Paid Search,646
2023-09-05,Paid Social,389
2023-09-05,Payment Redirects,49
2023-09-05,Referral,10
2023-09-05,SMS,446
2023-09-05,Unassigned,105
2023-09-06,Affiliates,530
2023-09-06,Cross-network,368
2023-09-06,Direct,1164
2023-09-06,Email,806
2023-09-06,Organic Search,308
2023-09-06,Organic Shopping,32
2023-09-06,Organic Social,7
2023-09-06,Paid Search,747
2023-09-06,Paid Social,309
2023-09-06,Payment Redirects,30
2023-09-06,Referral,20
2023-09-06,SMS,586
2023-09-06,Unassigned,72
2023-09-07,Affiliates,270
2023-09-07,Cross-network,222
2023-09-07,Direct,690
2023-09-07,Email,434
2023-09-07,Organic Search,126
2023-09-07,Organic Shopping,56
2023-09-07,Organic Social,5
2023-09-07,Paid Search,477
2023-09-07,Paid Social,272
2023-09-07,Payment Redirects,26
2023-09-07,Referral,7
2023-09-07,SMS,240
2023-09-07,Unassigned,46
2023-09-08,Affiliates,247
2023-09-08,Cross-network,291
2023-09-08,Direct,864
2023-09-08,Email,393
2023-09-08,Organic Search,197
2023-09-08,Organic Shopping,78
2023-09-08,Organic Social,5
2023-09-08,Paid Search,467
2023-09-08,Paid Social,308
2023-09-08,Payment Redirects,16
2023-09-08,Referral,4
2023-09-08,SMS,261
2023-09-08,Unassigned,40
2023-09-09,Affiliates,284
2023-09-09,Cross-network,235
2023-09-09,Direct,656
2023-09-09,Email,376
2023-09-09,Organic Search,138
2023-09-09,Organic Shopping,82
2023-09-09,Organic Social,12
2023-09-09,Paid Search,415
2023-09-09,Paid Social,255
2023-09-09,Payment Redirects,32
2023-09-09,Referral,10
2023-09-09,SMS,210
2023-09-09,Unassigned,26
2023-09-10,Affiliates,273
2023-09-10,Cross-network,262
2023-09-10,Direct,780
2023-09-10,Email,466
2023-09-10,Organic Search,132
2023-09-10,Organic Shopping,118
2023-09-10,Organic Social,15
2023-09-10,Paid Search,430
2023-09-10,Paid Social,318
2023-09-10,Payment Redirects,22
2023-09-10,Referral,10
2023-09-10,SMS,198
2023-09-10,Unassigned,35
2023-09-11,Affiliates,263
2023-09-11,Cross-network,251
2023-09-11,Direct,740
2023-09-11,Email,492
2023-09-11,Organic Search,145
2023-09-11,Organic Shopping,35
2023-09-11,Organic Social,9
2023-09-11,Paid Search,387
2023-09-11,Paid Social,202
2023-09-11,Payment Redirects,39
2023-09-11,Referral,11
2023-09-11,SMS,265
2023-09-11,Unassigned,28
2023-09-12,Affiliates,300
2023-09-12,Cross-network,281
2023-09-12,Direct,806
2023-09-12,Email,744
2023-09-12,Organic Search,132
2023-09-12,Organic Shopping,26
2023-09-12,Organic Social,11
2023-09-12,Paid Search,492
2023-09-12,Paid Social,225
2023-09-12,Payment Redirects,12
2023-09-12,Referral,10
2023-09-12,SMS,533
2023-09-12,Unassigned,25
2023-09-13,Affiliates,433
2023-09-13,Cross-network,359
2023-09-13,Direct,1157
2023-09-13,Display,1
2023-09-13,Email,884
2023-09-13,Organic Search,196
2023-09-13,Organic Shopping,49
2023-09-13,Organic Social,11
2023-09-13,Paid Search,621
2023-09-13,Paid Social,210
2023-09-13,Payment Redirects,16
2023-09-13,Referral,7
2023-09-13,SMS,828
2023-09-13,Unassigned,45
2023-09-14,Affiliates,278
2023-09-14,Cross-network,396
2023-09-14,Direct,745
2023-09-14,Email,614
2023-09-14,Organic Search,146
2023-09-14,Organic Shopping,68
2023-09-14,Organic Social,26
2023-09-14,Paid Search,437
2023-09-14,Paid Social,278
2023-09-14,Payment Redirects,22
2023-09-14,Referral,12
2023-09-14,SMS,332
2023-09-14,Unassigned,42
2023-09-15,Affiliates,432
2023-09-15,Cross-network,400
2023-09-15,Direct,931
2023-09-15,Email,549
2023-09-15,Organic Search,201
2023-09-15,Organic Shopping,44
2023-09-15,Organic Social,12
2023-09-15,Paid Search,610
2023-09-15,Paid Social,280
2023-09-15,Payment Redirects,45
2023-09-15,Referral,14
2023-09-15,SMS,634
2023-09-15,Unassigned,38
2023-09-16,Affiliates,247
2023-09-16,Cross-network,362
2023-09-16,Direct,743
2023-09-16,Email,392
2023-09-16,Organic Search,173
2023-09-16,Organic Shopping,39
2023-09-16,Organic Social,6
2023-09-16,Paid Search,494
2023-09-16,Paid Social,204
2023-09-16,Payment Redirects,31
2023-09-16,Referral,3
2023-09-16,SMS,199
2023-09-16,Unassigned,58
2023-09-17,Affiliates,282
2023-09-17,Cross-network,412
2023-09-17,Direct,793
2023-09-17,Email,449
2023-09-17,Organic Search,189
2023-09-17,Organic Shopping,48
2023-09-17,Organic Social,8
2023-09-17,Paid Search,471
2023-09-17,Paid Social,238
2023-09-17,Payment Redirects,10
2023-09-17,Referral,19
2023-09-17,SMS,502
2023-09-17,Unassigned,35
2023-09-18,Affiliates,1069
2023-09-18,Cross-network,683
2023-09-18,Direct,2504
2023-09-18,Email,4017
2023-09-18,Organic Search,404
2023-09-18,Organic Shopping,99
2023-09-18,Organic Social,74
2023-09-18,Paid Search,1176
2023-09-18,Paid Social,886
2023-09-18,Payment Redirects,66
2023-09-18,Referral,40
2023-09-18,SMS,2197
2023-09-18,Unassigned,71
2023-09-19,Affiliates,1200
2023-09-19,Cross-network,590
2023-09-19,Direct,3305
2023-09-19,Display,3
2023-09-19,Email,3091
2023-09-19,Organic Search,443
2023-09-19,Organic Shopping,97
2023-09-19,Organic Social,83
2023-09-19,Paid Search,1478
2023-09-19,Paid Social,989
2023-09-19,Payment Redirects,158
2023-09-19,Referral,15
2023-09-19,SMS,3063
2023-09-19,Unassigned,204
2023-09-20,Affiliates,1038
2023-09-20,Cross-network,548
2023-09-20,Direct,2361
2023-09-20,Email,2519
2023-09-20,Organic Search,450
2023-09-20,Organic Shopping,114
2023-09-20,Organic Social,120
2023-09-20,Paid Search,1308
2023-09-20,Paid Social,755
2023-09-20,Payment Redirects,82
2023-09-20,Referral,19
2023-09-20,SMS,2584
2023-09-20,Unassigned,168
2023-09-21,Affiliates,363
2023-09-21,Cross-network,348
2023-09-21,Direct,1080
2023-09-21,Email,721
2023-09-21,Organic Search,228
2023-09-21,Organic Shopping,103
2023-09-21,Organic Social,17
2023-09-21,Paid Search,697
2023-09-21,Paid Social,382
2023-09-21,Payment Redirects,32
2023-09-21,Referral,9
2023-09-21,SMS,432
2023-09-21,Unassigned,56
2023-09-22,Affiliates,528
2023-09-22,Cross-network,381
2023-09-22,Direct,1403
2023-09-22,Email,886
2023-09-22,Organic Search,296
2023-09-22,Organic Shopping,109
2023-09-22,Organic Social,25
2023-09-22,Paid Search,823
2023-09-22,Paid Social,385
2023-09-22,Payment Redirects,58
2023-09-22,Referral,20
2023-09-22,SMS,777
2023-09-22,Unassigned,52
2023-09-23,Affiliates,418
2023-09-23,Cross-network,333
2023-09-23,Direct,1072
2023-09-23,Email,682
2023-09-23,Organic Search,182
2023-09-23,Organic Shopping,79
2023-09-23,Organic Social,7
2023-09-23,Paid Search,506
2023-09-23,Paid Social,320
2023-09-23,Payment Redirects,38
2023-09-23,Referral,23
2023-09-23,SMS,390
2023-09-23,Unassigned,44
2023-09-24,Affiliates,335
2023-09-24,Cross-network,352
2023-09-24,Direct,1079
2023-09-24,Email,569
2023-09-24,Organic Search,178
2023-09-24,Organic Shopping,89
2023-09-24,Organic Social,4
2023-09-24,Paid Search,613
2023-09-24,Paid Social,222
2023-09-24,Payment Redirects,29
2023-09-24,Referral,11
2023-09-24,SMS,373
2023-09-24,Unassigned,57
2023-09-25,Affiliates,349
2023-09-25,Cross-network,298
2023-09-25,Direct,962
2023-09-25,Display,3
2023-09-25,Email,820
2023-09-25,Organic Search,193
2023-09-25,Organic Shopping,81
2023-09-25,Organic Social,14
2023-09-25,Paid Search,562
2023-09-25,Paid Social,323
2023-09-25,Payment Redirects,10
2023-09-25,Referral,23
2023-09-25,SMS,300
2023-09-25,Unassigned,77
2023-09-26,Affiliates,1145
2023-09-26,Cross-network,494
2023-09-26,Direct,2239
2023-09-26,Email,2764
2023-09-26,Organic Search,366
2023-09-26,Organic Shopping,141
2023-09-26,Organic Social,39
2023-09-26,Paid Search,982
2023-09-26,Paid Social,564
2023-09-26,Paid Video,4
2023-09-26,Payment Redirects,77
2023-09-26,Referral,12
2023-09-26,SMS,1564
2023-09-26,Unassigned,158
2023-09-27,Affiliates,1377
2023-09-27,Cross-network,613
2023-09-27,Direct,2871
2023-09-27,Display,1
2023-09-27,Email,2616
2023-09-27,Organic Search,522
2023-09-27,Organic Shopping,160
2023-09-27,Organic Social,175
2023-09-27,Organic Video,4
2023-09-27,Paid Search,1035
2023-09-27,Paid Social,751
2023-09-27,Payment Redirects,101
2023-09-27,Referral,37
2023-09-27,SMS,2822
2023-09-27,Unassigned,206
2023-09-28,Affiliates,989
2023-09-28,Cross-network,564
2023-09-28,Direct,2100
2023-09-28,Email,2056
2023-09-28,Organic Search,367
2023-09-28,Organic Shopping,147
2023-09-28,Organic Social,68
2023-09-28,Paid Search,1103
2023-09-28,Paid Social,1010
2023-09-28,Payment Redirects,101
2023-09-28,Referral,18
2023-09-28,SMS,2205
2023-09-28,Unassigned,258
2023-09-29,Affiliates,558
2023-09-29,Cross-network,454
2023-09-29,Direct,1276
2023-09-29,Email,849
2023-09-29,Organic Search,253
2023-09-29,Organic Shopping,132
2023-09-29,Organic Social,10
2023-09-29,Paid Search,698
2023-09-29,Paid Social,358
2023-09-29,Payment Redirects,26
2023-09-29,Referral,46
2023-09-29,SMS,681
2023-09-29,Unassigned,111
2023-09-30,Affiliates,404
2023-09-30,Cross-network,371
2023-09-30,Direct,992
2023-09-30,Email,638
2023-09-30,Organic Search,245
2023-09-30,Organic Shopping,114
2023-09-30,Organic Social,6
2023-09-30,Paid Search,667
2023-09-30,Paid Social,382
2023-09-30,Payment Redirects,32
2023-09-30,Referral,22
2023-09-30,SMS,650
2023-09-30,Unassigned,69
2023-10-01,Affiliates,298
2023-10-01,Cross-network,405
2023-10-01,Direct,1046
2023-10-01,Email,681
2023-10-01,Organic Search,228
2023-10-01,Organic Shopping,103
2023-10-01,Organic Social,7
2023-10-01,Paid Search,592
2023-10-01,Paid Social,291
2023-10-01,Payment Redirects,31
2023-10-01,Referral,24
2023-10-01,SMS,371
2023-10-01,Unassigned,38
2023-10-02,Affiliates,334
2023-10-02,Cross-network,411
2023-10-02,Direct,920
2023-10-02,Email,716
2023-10-02,Organic Search,191
2023-10-02,Organic Shopping,75
2023-10-02,Organic Social,3
2023-10-02,Paid Search,458
2023-10-02,Paid Social,333
2023-10-02,Payment Redirects,35
2023-10-02,Referral,9
2023-10-02,SMS,377
2023-10-02,Unassigned,43
2023-10-03,Affiliates,465
2023-10-03,Cross-network,355
2023-10-03,Direct,1188
2023-10-03,Email,955
2023-10-03,Organic Search,203
2023-10-03,Organic Shopping,86
2023-10-03,Organic Social,23
2023-10-03,Paid Search,572
2023-10-03,Paid Social,260
2023-10-03,Payment Redirects,42
2023-10-03,Referral,34
2023-10-03,SMS,544
2023-10-03,Unassigned,75
2023-10-04,Affiliates,499
2023-10-04,Cross-network,402
2023-10-04,Direct,1357
2023-10-04,Email,1111
2023-10-04,Organic Search,216
2023-10-04,Organic Shopping,70
2023-10-04,Organic Social,256
2023-10-04,Paid Search,682
2023-10-04,Paid Social,282
2023-10-04,Payment Redirects,16
2023-10-04,Referral,16
2023-10-04,SMS,777
2023-10-04,Unassigned,115
2023-10-05,Affiliates,393
2023-10-05,Cross-network,507
2023-10-05,Direct,1399
2023-10-05,Email,832
2023-10-05,Organic Search,288
2023-10-05,Organic Shopping,74
2023-10-05,Organic Social,37
2023-10-05,Paid Search,752
2023-10-05,Paid Social,330
2023-10-05,Payment Redirects,45
2023-10-05,Referral,28
2023-10-05,SMS,749
2023-10-05,Unassigned,64
2023-10-06,Affiliates,314
2023-10-06,Cross-network,304
2023-10-06,Direct,790
2023-10-06,Display,5
2023-10-06,Email,429
2023-10-06,Organic Search,192
2023-10-06,Organic Shopping,78
2023-10-06,Organic Social,8
2023-10-06,Paid Search,614
2023-10-06,Paid Social,232
2023-10-06,Payment Redirects,50
2023-10-06,Referral,11
2023-10-06,SMS,280
2023-10-06,Unassigned,66
2023-10-07,Affiliates,348
2023-10-07,Cross-network,358
2023-10-07,Direct,752
2023-10-07,Email,359
2023-10-07,Organic Search,163
2023-10-07,Organic Shopping,48
2023-10-07,Organic Social,2
2023-10-07,Paid Search,438
2023-10-07,Paid Social,207
2023-10-07,Payment Redirects,17
2023-10-07,Referral,8
2023-10-07,SMS,180
2023-10-07,Unassigned,40
2023-10-08,Affiliates,293
2023-10-08,Cross-network,345
2023-10-08,Direct,786
2023-10-08,Email,488
2023-10-08,Organic Search,225
2023-10-08,Organic Shopping,55
2023-10-08,Organic Social,31
2023-10-08,Paid Search,524
2023-10-08,Paid Social,218
2023-10-08,Payment Redirects,24
2023-10-08,Referral,4
2023-10-08,SMS,128
2023-10-08,Unassigned,37
2023-10-09,Affiliates,226
2023-10-09,Cross-network,340
2023-10-09,Direct,767
2023-10-09,Email,449
2023-10-09,Organic Search,225
2023-10-09,Organic Shopping,61
2023-10-09,Organic Social,3
2023-10-09,Paid Search,477
2023-10-09,Paid Social,230
2023-10-09,Payment Redirects,13
2023-10-09,Referral,11
2023-10-09,SMS,191
2023-10-09,Unassigned,33
2023-10-10,Affiliates,268
2023-10-10,Cross-network,338
2023-10-10,Direct,864
2023-10-10,Email,417
2023-10-10,Organic Search,153
2023-10-10,Organic Shopping,64
2023-10-10,Paid Search,509
2023-10-10,Paid Social,197
2023-10-10,Payment Redirects,33
2023-10-10,Referral,6
2023-10-10,SMS,414
2023-10-10,Unassigned,30
2023-10-11,Affiliates,385
2023-10-11,Cross-network,432
2023-10-11,Direct,1277
2023-10-11,Display,2
2023-10-11,Email,789
2023-10-11,Organic Search,197
2023-10-11,Organic Shopping,87
2023-10-11,Organic Social,11
2023-10-11,Paid Search,715
2023-10-11,Paid Shopping,1
2023-10-11,Paid Social,321
2023-10-11,Payment Redirects,42
2023-10-11,Referral,22
2023-10-11,SMS,555
2023-10-11,Unassigned,37
2023-10-12,Affiliates,445
2023-10-12,Cross-network,583
2023-10-12,Direct,1268
2023-10-12,Email,791
2023-10-12,Organic Search,239
2023-10-12,Organic Shopping,55
2023-10-12,Organic Social,17
2023-10-12,Paid Search,723
2023-10-12,Paid Social,448
2023-10-12,Payment Redirects,29
2023-10-12,Referral,10
2023-10-12,SMS,498
2023-10-12,Unassigned,87
2023-10-13,Affiliates,485
2023-10-13,Cross-network,499
2023-10-13,Direct,1293
2023-10-13,Email,866
2023-10-13,Organic Search,254
2023-10-13,Organic Shopping,68
2023-10-13,Organic Social,13
2023-10-13,Paid Search,765
2023-10-13,Paid Social,356
2023-10-13,Payment Redirects,37
2023-10-13,Referral,24
2023-10-13,SMS,503
2023-10-13,Unassigned,124
2023-10-14,Affiliates,411
2023-10-14,Cross-network,505
2023-10-14,Direct,1216
2023-10-14,Email,693
2023-10-14,Organic Search,251
2023-10-14,Organic Shopping,54
2023-10-14,Organic Social,3
2023-10-14,Paid Search,685
2023-10-14,Paid Social,390
2023-10-14,Payment Redirects,16
2023-10-14,Referral,27
2023-10-14,SMS,474
2023-10-14,Unassigned,70
2023-10-15,Affiliates,379
2023-10-15,Cross-network,407
2023-10-15,Direct,1278
2023-10-15,Email,709
2023-10-15,Organic Search,249
2023-10-15,Organic Shopping,91
2023-10-15,Organic Social,22
2023-10-15,Paid Search,769
2023-10-15,Paid Social,391
2023-10-15,Payment Redirects,42
2023-10-15,Referral,25
2023-10-15,SMS,517
2023-10-15,Unassigned,72
2023-10-16,Affiliates,436
2023-10-16,Cross-network,433
2023-10-16,Direct,1126
2023-10-16,Email,751
2023-10-16,Organic Search,267
2023-10-16,Organic Shopping,98
2023-10-16,Organic Social,20
2023-10-16,Paid Search,692
2023-10-16,Paid Social,462
2023-10-16,Payment Redirects,38
2023-10-16,Referral,29
2023-10-16,SMS,593
2023-10-16,Unassigned,73
2023-10-17,Affiliates,484
2023-10-17,Cross-network,441
2023-10-17,Direct,1345
2023-10-17,Email,819
2023-10-17,Organic Search,241
2023-10-17,Organic Shopping,97
2023-10-17,Organic Social,9
2023-10-17,Paid Search,798
2023-10-17,Paid Social,343
2023-10-17,Payment Redirects,53
2023-10-17,Referral,18
2023-10-17,SMS,638
2023-10-17,Unassigned,65
2023-10-18,Affiliates,445
2023-10-18,Cross-network,512
2023-10-18,Direct,1725
2023-10-18,Email,862
2023-10-18,Organic Search,320
2023-10-18,Organic Shopping,121
2023-10-18,Organic Social,14
2023-10-18,Paid Search,855
2023-10-18,Paid Social,443
2023-10-18,Payment Redirects,43
2023-10-18,Referral,38
2023-10-18,SMS,637
2023-10-18,Unassigned,96
2023-10-19,Affiliates,527
2023-10-19,Cross-network,633
2023-10-19,Direct,1233
2023-10-19,Email,855
2023-10-19,Organic Search,225
2023-10-19,Organic Shopping,75
2023-10-19,Organic Social,8
2023-10-19,Paid Search,711
2023-10-19,Paid Social,436
2023-10-19,Payment Redirects,27
2023-10-19,Referral,10
2023-10-19,SMS,712
2023-10-19,Unassigned,86
2023-10-20,Affiliates,472
2023-10-20,Cross-network,575
2023-10-20,Direct,1364
2023-10-20,Email,1328
2023-10-20,Organic Search,256
2023-10-20,Organic Shopping,99
2023-10-20,Organic Social,9
2023-10-20,Paid Search,763
2023-10-20,Paid Shopping,1
2023-10-20,Paid Social,361
2023-10-20,Payment Redirects,27
2023-10-20,Referral,8
2023-10-20,SMS,848
2023-10-20,Unassigned,52
2023-10-21,Affiliates,384
2023-10-21,Cross-network,596
2023-10-21,Direct,1254
2023-10-21,Email,953
2023-10-21,Organic Search,203
2023-10-21,Organic Shopping,164
2023-10-21,Organic Social,14
2023-10-21,Paid Search,626
2023-10-21,Paid Social,332
2023-10-21,Payment Redirects,21
2023-10-21,Referral,23
2023-10-21,SMS,427
2023-10-21,Unassigned,81
2023-10-22,Affiliates,317
2023-10-22,Cross-network,439
2023-10-22,Direct,1116
2023-10-22,Email,544
2023-10-22,Organic Search,232
2023-10-22,Organic Shopping,99
2023-10-22,Organic Social,4
2023-10-22,Paid Search,591
2023-10-22,Paid Social,283
2023-10-22,Payment Redirects,25
2023-10-22,Referral,11
2023-10-22,SMS,159
2023-10-22,Unassigned,29
2023-10-23,Affiliates,400
2023-10-23,Cross-network,317
2023-10-23,Direct,960
2023-10-23,Email,654
2023-10-23,Organic Search,205
2023-10-23,Organic Shopping,95
2023-10-23,Organic Social,6
2023-10-23,Paid Search,559
2023-10-23,Paid Social,270
2023-10-23,Payment Redirects,31
2023-10-23,Referral,21
2023-10-23,SMS,282
2023-10-23,Unassigned,64
2023-10-24,Affiliates,369
2023-10-24,Cross-network,411
2023-10-24,Direct,1265
2023-10-24,Email,682
2023-10-24,Organic Search,205
2023-10-24,Organic Shopping,18
2023-10-24,Organic Social,16
2023-10-24,Paid Search,752
2023-10-24,Paid Social,118
2023-10-24,Payment Redirects,31
2023-10-24,Referral,26
2023-10-24,SMS,751
2023-10-24,Unassigned,77
2023-10-25,Affiliates,490
2023-10-25,Cross-network,486
2023-10-25,Direct,1458
2023-10-25,Display,2
2023-10-25,Email,1085
2023-10-25,Organic Search,310
2023-10-25,Organic Shopping,68
2023-10-25,Organic Social,40
2023-10-25,Paid Search,735
2023-10-25,Paid Social,284
2023-10-25,Payment Redirects,52
2023-10-25,Referral,17
2023-10-25,SMS,798
2023-10-25,Unassigned,59
2023-10-26,Affiliates,525
2023-10-26,Cross-network,513
2023-10-26,Direct,1512
2023-10-26,Email,1072
2023-10-26,Organic Search,353
2023-10-26,Organic Shopping,52
2023-10-26,Organic Social,21
2023-10-26,Paid Search,883
2023-10-26,Paid Social,95
2023-10-26,Payment Redirects,55
2023-10-26,Referral,14
2023-10-26,SMS,369
2023-10-26,Unassigned,86
2023-10-27,Affiliates,574
2023-10-27,Cross-network,539
2023-10-27,Direct,1621
2023-10-27,Email,1295
2023-10-27,Organic Search,260
2023-10-27,Organic Shopping,24
2023-10-27,Organic Social,14
2023-10-27,Paid Search,786
2023-10-27,Paid Social,49
2023-10-27,Payment Redirects,30
2023-10-27,Referral,25
2023-10-27,SMS,989
2023-10-27,Unassigned,109
2023-10-28,Affiliates,326
2023-10-28,Cross-network,373
2023-10-28,Direct,890
2023-10-28,Email,658
2023-10-28,Organic Search,124
2023-10-28,Organic Shopping,19
2023-10-28,Organic Social,12
2023-10-28,Paid Search,457
2023-10-28,Paid Social,33
2023-10-28,Payment Redirects,23
2023-10-28,Referral,4
2023-10-28,SMS,262
2023-10-28,Unassigned,63
2023-10-29,Affiliates,278
2023-10-29,Cross-network,367
2023-10-29,Direct,954
2023-10-29,Email,469
2023-10-29,Organic Search,276
2023-10-29,Organic Shopping,70
2023-10-29,Organic Social,29
2023-10-29,Paid Search,536
2023-10-29,Paid Social,210
2023-10-29,Payment Redirects,17
2023-10-29,Referral,11
2023-10-29,SMS,264
2023-10-29,Unassigned,66
2023-10-30,Affiliates,368
2023-10-30,Cross-network,414
2023-10-30,Direct,1224
2023-10-30,Email,556
2023-10-30,Organic Search,241
2023-10-30,Organic Shopping,188
2023-10-30,Organic Social,15
